Rank,School Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
161,,江西师范大学,冲二冲,4,386,Bronze,颜玮琦,陈哲,张天福,N,N
161,,四川大学,你下载国家反诈中心app了么,4,388,Bronze,毕之语,郭利民,张中辉,N,N
163,91,南京航空航天大学,我全都要,4,391,Bronze,沈凌翔,晏开文,吴家庆,N,N
164,92,福建师范大学,AC了一半被希尔Q断了,4,391,Bronze,肖磊,王辉,苏君鹏,N,N
165,,同济大学,达拉崩吧班德贝迪卜多比鲁翁,4,392,Bronze,孙治弘,刘依扬,张乐天,N,N
166,,河南理工大学,三个猛男,4,392,Bronze,朱胜豪,张定一,赵亚飞,N,N
167,,暨南大学,罚时自动机,4,395,Bronze,严晗,林泽生,江泽凯,N,N
168,,哈尔滨工业大学,轮回之终末,4,397,Bronze,曹沐阳,陈旭坤,陈煜航,N,N
169,93,福州大学,签到五分钟罚坐四小时,4,399,Bronze,李诺凡,田剑心,欧云帆,N,N
170,94,山东理工大学,小蛋糕,4,408,Bronze,董鑫,王硕,张航,N,N
171,95,湖南文理学院,常数太大被关了起来,4,409,Bronze,杨新纪,贺伦尊,曾铁龙,N,N
171,95,太原理工大学,鸽们仨,4,417,Bronze,何玉斌,李昌荣,李沛霖,N,N
173,97,南通大学,NTU1,4,419,Bronze,叶盛,季炎,苏展,N,N
173,97,华中科技大学,赵赵的奇妙冒险,4,421,Bronze,赵云霏,刘婧,龚宸,N,N
173,,湘潭大学,包过,4,425,Bronze,刘世豪,李健龙,赵红博,N,N
176,99,广东工业大学,简单爆零,4,427,Bronze,张海庭,柯新宇,段环宇,N,N
177,100,中国地质大学（北京）,肆零肆,4,428,Bronze,易晨竹,刘锦程,王文显,N,N
178,101,南华大学,青春猪头ACMer不会梦到兔女郎教练,4,429,Bronze,周楷傑,王思进,余伟豪,N,N
179,,北京理工大学珠海学院,星火燎原,4,432,Bronze,张润泽,冯骏枝,胡德存,N,N
180,102,厦门大学嘉庚学院,顺心糖,4,434,Bronze,范徐伟,罗意凡,喻越,N,N
181,,天津大学,抗铁敲代码,4,435,Bronze,吴奕鹏,王衍杰,孙荣钏,N,N
181,103,太原理工大学,九章算树,4,436,Bronze,钱皓晟,王宇轩,岳文颂,N,N
183,104,上海大学,白洞,4,438,Bronze,徐京伟,刘伊阳,阮健乘,N,N
184,,山东大学（威海）,两main包夹芝士,4,444,Bronze,崔海勤,王君豪,梁致嘉,N,N
184,105,南方科技大学,南方科技大学-巴塞罗那,4,447,Bronze,陈天乐,范磊龙,邹逸凡,N,N
184,,浙江工业大学,我要读研,4,451,Bronze,陈尧,王雪龙,吴雨轩,N,N
187,106,北京林业大学,杂毛小鸡,4,453,Bronze,陈浩翔,黄梓铭,康旭,N,N
187,106,湘潭大学,嘉然，我真的好喜欢你啊,4,455,Bronze,张福,袁泽,唐路军,N,N
189,,北京师范大学,网络流,4,458,Bronze,王小普,陆春酉,王亚菁,N,N
190,108,大连理工大学,关于第六版英汉词典没有Acyclic这档事,4,459,Bronze,邓思航,赵钧鹏,高金鹏,N,N
191,,浙大宁波理工学院,运气王拿外卖,4,461,Bronze,沈佳力,翁茹芸,张昊闻,N,N
192,,天津工业大学,专注分母二十年,4,464,Bronze,冯会东,杨磊,唐小钰,N,N
193,,北京工业大学,比完赛吃麦当劳,4,466,Bronze,卢雨轩,养罡智,周晟颐,N,N
194,,浙大城市学院,来杯拿铁,4,467,Bronze,潘劲帆,章晨榆,钟天宇,N,N
195,,电子科技大学,UESTC_空气人,4,472,Bronze,郝益民,郑皓瑞,王浩舟,N,N
196,,天津仁爱学院,晗雨凡,4,472,Bronze,张雨,王梦晗,凡耀程,N,N
197,109,中国矿业大学（北京）,队队队队队队,4,472,Bronze,黄浩诚,丁冠文,陈骁宇,N,N
197,,深圳技术大学,大~泡~炮~,4,474,Bronze,钱贵宁,周家宝,刘泽驰,N,N
199,110,山东理工大学,等着给小蓝过生日,4,476,Bronze,蓝泽如,唐铭桓,李彦彬,N,N
200,,哈尔滨工程大学,何处惹尘埃,4,486,Bronze,杨春昊,黄凯鹏,李林轩,N,N
200,,华中师范大学,姜子翱子翼子,4,491,Bronze,陈首翱,姜宇琦,张天翼,N,N
200,111,重庆邮电大学,JK47,4,492,Bronze,王广辉,卢炜杰,张靖昆,N,N
203,,华南农业大学,热恋期的尧尧,4,494,Bronze,许智友,庄鑫耿,周俊尧,N,N
203,,南昌大学,不破不立,4,494,Bronze,卓上钤,咸翔,蔡少豪,N,N
205,,中国石油大学（华东）,没有人比我更懂AC,4,501,Bronze,李学鹏,张宇昊,刘俊男,N,N
206,112,东北师范大学,荧惑守心,4,509,Bronze,邹宇明,刘思博,胡哲瑜,N,N
206,,江西师范大学,胡乱AC,4,512,Bronze,江新宇,肖子安,杨文冠,N,N
208,,成都信息工程大学,我想带两个小妹妹,4,515,Bronze,李梓靖,王星辰,余春生,N,N
209,,西南民族大学,SMU_ShY03,4,517,Bronze,李锐,卿旺,韩雅琪,N,N
210,113,黑龙江大学,面向Accept程序设计,4,517,Bronze,陈宗朋,付文军,刘卓芸,N,N
211,114,湘潭大学,今日长缨在手,4,524,Honorable,,,,N,N
211,,郑州大学,圣嘉然之力,4,534,Honorable,,,,N,N
213,115,武汉商学院,球拍,4,535,Honorable,,,,N,N
214,116,浙江理工大学,月下客,4,538,Honorable,,,,N,N
215,,桂林电子科技大学,广西小清华,4,538,Honorable,,,,N,N
216,,天津仁爱学院,蜡笔小心,4,546,Honorable,,,,N,N
217,117,湖南中医药大学,触底反弹,4,552,Honorable,,,,N,N
217,117,中南大学,行但不行,4,560,Honorable,,,,N,N
217,,广州大学,懒狗训练营,4,562,Honorable,,,,N,N
220,,杭州师范大学,Fahaxiki,4,567,Honorable,,,,N,N
221,119,中国矿业大学,不想吃早饭,4,570,Honorable,,,,N,N
222,,天津大学,三句话演队友十八分钟,4,571,Honorable,,,,N,N
222,,北京林业大学,好潮如评,4,572,Honorable,,,,N,N
224,,深圳大学,SZU-Linus,4,574,Honorable,,,,N,N
225,,河北大学,HBUgo,4,576,Honorable,,,,N,N
226,120,厦门大学,键键变秃,4,587,Honorable,,,,N,N
227,121,武汉大学,传奇重犯,4,616,Honorable,,,,N,N
228,,南京邮电大学,大草原,4,628,Honorable,,,,N,N
229,122,浙江农林大学,春田花花幼儿园,4,632,Honorable,,,,N,N
230,123,西南民族大学,SMU_ShY04,4,638,Honorable,,,,N,N
231,,集美大学,我们不会修电脑,4,651,Honorable,,,,N,N
232,,大连大学,活着AC,4,667,Honorable,,,,N,N
233,124,郑州大学,致命打击,4,683,Honorable,,,,N,N
234,,华中科技大学,干完这票就跑路,4,685,Honorable,,,,N,N
235,,福建农林大学,诶嘿,4,685,Honorable,,,,N,N
236,,南京工业大学,代码都,4,706,Honorable,,,,N,N
237,,桂林电子科技大学,无名之辈,4,717,Honorable,,,,N,N
238,,湖南科技大学,楚门的金色世界,4,776,Honorable,,,,N,N
239,,苏州大学,太阳骑士,4,788,Honorable,,,,N,N
240,,中国科学技术大学,划水摸鱼,4,802,Honorable,,,,N,N
241,,上海理工大学,面向样例编程,4,819,Honorable,,,,N,N
242,,南开大学,你的名字,4,964,Honorable,,,,N,N
243,,中国矿业大学（北京）,最美不过夕阳红,3,62,Honorable,,,,N,N
244,,浙江师范大学,人生异或只如初见,3,93,Honorable,,,,N,N
245,125,台州学院,ACM没有AC只有MAN,3,102,Honorable,,,,N,N
245,,湖南科技大学,关于PE很烦人的事,3,125,Honorable,,,,N,N
247,126,深圳大学,SZU-Euler,3,132,Honorable,,,,N,N
248,,河南大学,你是真的假的啊,3,138,Honorable,,,,N,N
249,,西北大学,驼鹿计划,3,141,Honorable,,,,N,N
250,127,华南理工大学,群聊(3),3,142,Honorable,,,,N,N
251,,哈尔滨工业大学（威海）,威士忌泡泡,3,152,Honorable,,,,N,N
252,,哈尔滨工业大学,很有精神,3,155,Honorable,,,,N,N
253,128,南阳理工学院,枯木逢春,3,166,Honorable,,,,N,N
254,,哈尔滨理工大学,哈理工09队,3,171,Honorable,,,,N,N
255,,兰州大学,猎户计划,3,173,Honorable,,,,N,N
256,,中国矿业大学,你说的都队,3,177,Honorable,,,,N,N
257,,烟台大学,无何有之乡,3,201,Honorable,,,,N,N
258,,江西财经大学,心机之蛙,3,203,Honorable,,,,N,N
259,129,南京大学,不要啦杰哥,3,208,Honorable,,,,N,N
260,,湖南工业大学,发量惊人,3,209,Honorable,,,,N,N
261,,浙江财经大学,闪光,3,215,Honorable,,,,N,N
262,130,青岛大学,济南打星队,3,231,Honorable,,,,N,N
263,131,东南大学,未命名,3,240,Honorable,,,,N,N
264,,南昌理工学院,无情铁首,3,242,Honorable,,,,N,N
265,,河海大学,晨星,3,244,Honorable,,,,N,N
266,,中国人民大学,洪愷越牛逼,3,248,Honorable,,,,N,N
266,132,南京林业大学,二次元彳亍,3,250,Honorable,,,,N,N
268,,北京科技大学,自动AC机,3,257,Honorable,,,,N,N
269,133,郑州轻工业大学,远枫,3,258,Honorable,,,,N,N
270,,中国海洋大学,墨鱼吉祥物,3,260,Honorable,,,,N,N
271,134,浙江工业大学,ZJUT6,3,261,Honorable,,,,N,N
272,,山东师范大学,十一月没有假期,3,264,Honorable,,,,N,N
273,,常熟理工学院,不破不立,3,267,Honorable,,,,N,N
274,,北华大学,亿元一个的茶叶蛋,3,270,Honorable,,,,N,N
275,,中国计量大学,查尔斯,3,270,Honorable,,,,N,N
276,,山东科技大学,奋进号,3,271,Honorable,,,,N,N
277,,湖北第二师范学院,The dawn,3,273,Honorable,,,,N,N
278,,金陵科技学院,血压太高控制不住怎么办,3,275,Honorable,,,,N,N
279,135,东莞理工学院,WA 自动机,3,277,Honorable,,,,N,N
280,,南阳理工学院,此乃天道！,3,277,Honorable,,,,N,N
280,136,中北大学,今朝有牌,3,281,Honorable,,,,N,N
282,,暨南大学,正十字,3,289,Honorable,,,,N,N
282,137,长沙理工大学,清风荷影,3,293,Honorable,,,,N,N
282,137,西安电子科技大学,西伯利亚电动小飞船,3,294,Honorable,,,,N,N
285,139,西南科技大学,好运来,3,300,Honorable,,,,N,N
286,,广东工业大学,寂静之声,3,300,Honorable,,,,N,N
287,140,杭州师范大学,塔塔开,3,300,Honorable,,,,N,N
288,141,中国计量大学,已经没什么好怕的了,3,302,Honorable,,,,N,N
289,,长沙理工大学,筝筝纸yuan,3,304,Honorable,,,,N,N
289,142,南京航空航天大学,匈牙利牛肉焗饭,3,306,Honorable,,,,N,N
291,,湖南农业大学,想再飞鱼ac银,3,306,Honorable,,,,N,N
291,143,青岛大学,立直自摸清一色,3,308,Honorable,,,,N,N
293,144,东南大学,那就吃火锅吧,3,308,Honorable,,,,N,N
294,145,大连东软信息学院,好那就叫好就叫就叫AC吧,3,315,Honorable,,,,N,N
294,145,西南交通大学,猛犸不上ban,3,324,Honorable,,,,N,N
294,,南京邮电大学,不给气球就捣蛋,3,329,Honorable,,,,N,N
297,147,江西理工大学,A完这题就下机,3,334,Honorable,,,,N,N
298,,宁波大学,这不是人均算法吗,3,334,Honorable,,,,N,N
299,148,北京信息科技大学,下次记得AC,3,343,Honorable,,,,N,N
300,,成都东软学院,不止于此,3,343,Honorable,,,,N,N
301,149,东北师范大学,竹取飞翔,3,350,Honorable,,,,N,N
302,150,河北师范大学,【ac】请升级新版oj接收ac提醒,3,352,Honorable,,,,N,N
303,,中南民族大学,不吃香菜,3,357,Honorable,,,,N,N
303,,东莞理工学院,AC Orz,3,362,Honorable,,,,N,N
305,,浙江工商大学,且共从容,3,363,Honorable,,,,N,N
305,151,中原工学院,wa了，但没有完全wa,3,364,Honorable,,,,N,N
307,,华东交通大学,猫和瑶瑶我都要,3,365,Honorable,,,,N,N
308,152,中国地质大学（北京）,计数机,3,366,Honorable,,,,N,N
308,,大连理工大学,异军突起,3,366,Honorable,,,,N,N
